id,statement
1,"No political party can say they have a climate change action plan when they favour coal, oil, and gas companies."
2,We must start working together for real solutions on climate change.
3,Countries must fulfil their Paris Climate Agreement goals.
4,"We need to keep coal, oil, and gas in the ground and adopt more renewable energy sources, like solar and wind power. "
5,It is important to vote for leaders who will combat climate change.
6,Australian politicians need to wake up to the emergency of tackling climate change.
7,"Regardless of who is elected, the reality is that climate change is going to destroy everything."
8,The Great Barrier Reef is at risk from climate change.
9,Australia is experiencing more extreme weather and hotter days due to climate change.
10,Poor people will be impacted the worst by climate change.
11,The threat of climate change is much worse than climate scientists originally thought.
12,Climate change is a threat to the health and safety of our children.
13,Australian agriculture is thriving so climate change can't be real.
14,Climate change is a hoax perpetrated by the United Nations.
15,Climate change and human burning of fossil fuels are strongly linked.
16,Cow farts cause more 'climate change' than human activity.
17,"Through cutting science funding, we damage Australia's ability to respond to climate change."
18,"Those who demand climate action are the usual ""torch-and-pitchfork"" crowd."
19,Oil and gas companies could not care less about climate change.
20,Climate change sceptics ignore basic climate science facts.
21,The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
22,People who deny the science of climate change should not hold public office.
23,Politicians who refuse to tackle climate change are just as bad as those who deny climate science.
24,"Climate sceptics, with no genuine expertise, cannot know better than climate scientists."
25,Scientists should stop falsely claiming that climate change is a settled science.
26,"Climate change policy and renewable energy (e.g., solar power) should be a major focus of Australian political elections."
27,"They changed the name from ""global warming"" to ""climate change"" because the planet isn't warming."
28,Politicians and the mass media are ignorant about the risks of climate change.
29,"It is shameful that climate change, the greatest problem of our time, is barely discussed in the media."
30,The increased occurrence of extreme weather events is a clear sign that climate change is real.
