order,id,statement
1,5,It is important to vote for leaders who will combat climate change.
2,25,Scientists should stop falsely claiming that climate change is a settled science.
3,14,Climate change is a hoax perpetrated by the United Nations.
4,10,Poor people will be impacted the worst by climate change.
5,27,"They changed the name from ""global warming"" to ""climate change"" because the planet isn't warming."
6,21,The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.
7,16,Cow farts cause more 'climate change' than human activity.
8,12,Climate change is a threat to the health and safety of our children.
9,28,Politicians and the mass media are ignorant about the risks of climate change.
10,20,Climate change sceptics ignore basic climate science facts.
11,17,"Through cutting science funding, we damage Australia's ability to respond to climate change."
12,8,The Great Barrier Reef is at risk from climate change.
13,11,The threat of climate change is much worse than climate scientists originally thought.
14,23,Politicians who refuse to tackle climate change are just as bad as those who deny climate science.
15,30,The increased occurrence of extreme weather events is a clear sign that climate change is real.
16,13,Australian agriculture is thriving so climate change can't be real.
17,9,Australia is experiencing more extreme weather and hotter days due to climate change.
18,18,"Those who demand climate action are the usual ""torch-and-pitchfork"" crowd."
19,26,"Climate change policy and renewable energy (e.g., solar power) should be a major focus of Australian political elections."
20,24,"Climate sceptics, with no genuine expertise, cannot know better than climate scientists."
21,15,Climate change and human burning of fossil fuels are strongly linked.
22,22,People who deny the science of climate change should not hold public office.
23,4,"We need to keep coal, oil, and gas in the ground and adopt more renewable energy sources, like solar and wind power."
24,1,"No political party can say they have a climate change action plan when they favour coal, oil, and gas companies."
25,2,We must start working together for real solutions on climate change.
26,29,"It is shameful that climate change, the greatest problem of our time, is barely discussed in the media."
27,3,Countries must fulfil their Paris Climate Agreement goals.
28,7,"Regardless of who is elected, the reality is that climate change is going to destroy everything."
29,19,Oil and gas companies could not care less about climate change.
30,6,Australian politicians need to wake up to the emergency of tackling climate change.
